"STATION","NAME","DATE","DSND","DSNW","EMSD","EMSN","EMXP","PRCP","SNOW"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-03","7","3","6","9.1","1.85","6.82","19.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-04","1","0","1","0.0","1.37","4.43","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-05","0","0","0","0.0","4.12","8.76","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-06","0","0","0","0.0","1.22","3.07","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-07","0","0","0","0.0","1.19","4.43","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-08","0","0","0","0.0","0.64","1.60","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-09","0","0","0","0.0","0.54","1.22","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-10","0","0","0","0.0","2.81","5.18","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-11","0","0","0","0.0","0.81","1.69","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-12","0","2","0","2.1","0.92","2.93","3.7"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1985-01","18","4","3","1.9","0.20","1.12","7.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1985-02","10","2","9","5.7","0.54","1.83","10.2"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1985-03","2","2","2","1.9","0.92","2.29","3.7"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1985-04","1","1","2","2.0","0.78","1.63","2.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1985-05","0","0","0","0.0","1.55","3.37","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1985-06","0","0","0","0.0","0.94","3.94","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1985-07","0","0","0","0.0","1.05","3.52","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1985-08","0","0","0","0.0","3.58","6.67","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1985-09","0","0","0","0.0","1.19","3.00","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1985-10","0","0","0","0.0","0.37","1.65","0.0"
