"STATION","NAME","DATE","AWND","PRCP"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1979-01",,"10.55"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1979-02",,"3.47"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1979-03",,"3.04"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1979-04",,"3.20"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1979-05",,"4.25"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1979-06",,"0.86"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1979-07",,"2.36"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1979-08",,"5.02"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1979-09",,"3.61"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1979-10",,"3.15"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1979-11",,"3.29"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1979-12",,"1.42"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1980-01",,"0.74"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1980-02",,"0.88"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1980-03",,"5.37"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1980-04",,"4.36"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1980-05",,"2.30"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1980-06",,"3.06"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1980-07",,"2.21"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1980-08",,"1.55"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1980-09",,"0.82"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1980-10",,"4.14"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1980-11",,"3.01"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1980-12",,"0.98"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1981-01",,"0.95"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1981-02",,"6.65"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1981-03",,"0.62"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1981-04",,"3.14"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1981-05",,"1.18"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1981-06",,"1.65"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1981-07",,"3.48"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1981-08",,"1.04"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1981-09",,"2.54"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1981-10",,"3.43"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1981-11",,"4.78"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1981-12",,"6.27"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1982-01",,"4.70"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1982-02",,"2.66"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1982-03",,"2.17"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1982-04",,"3.42"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1982-05",,"2.57"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1982-06",,"13.20"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1982-07",,"4.22"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1982-08",,"2.22"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1982-09",,"1.57"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1982-10",,"3.19"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1982-11",,"3.42"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1982-12",,"1.28"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1983-01",,"5.03"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1983-02",,"5.00"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1983-03",,"9.72"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1983-04",,"6.87"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1983-05",,"2.95"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1983-06",,"1.07"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1983-07",,"1.07"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1983-08",,"3.28"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1983-09",,"1.06"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1983-10",,"3.74"
